Test,Ref,Unit
ASPARTATE AMINOTRANSFERASE (AST/SGOT),17-59,U/L
ASPARTATE AMINOTRANSFERASE (AST/SGOT),14-36,U/L
ASPARTATE AMINOTRANSFERASE (AST/SGOT),0-37,U/L
ASPARTATE AMINOTRANSFERASE (AST/SGOT),High 15-37,U/L
ASPARTATE AMINOTRANSFERASE (AST/SGOT),14.40,U/L
ASPARTATE AMINOTRANSFERASE (AST/SGOT),14-30,U/L
ASPARTATE AMINOTRANSFERASE (AST/SGOT),0-32,U/L
ASPARTATE AMINOTRANSFERASE (AST/SGOT),0-40,U/
"ASPARTATE AMINOTRANSFERASE (AST/SGOT), SERUM",8-38,U/L
"ASPARTATE AMINOTRANSFERASE (AST/SGOT), SERUM",14-40,U/L
"ASPARTATE AMINOTRANSFERASE (AST/SGOT), SERUM",8.38,U/L
ASPARTATE AMINOTRANSFERASE (AST/SGOT) SERUM,14-40,U/L
"ASPARTATE AMINOTRANSFERASE (AST/SGOT), SERUM",14-36,U/L
"ASPARTATE AMINOTRANSFERASE (AST/SGOT), SERUM)",14-40,u/L
ASPARTATE AMINOTRANSFERASE (AST/SGOT)SERUM,14-40,U/L
"ASPARTATE AMINOTRANSFERASE (AST/STOT), SERUM",17-59,U/L
ASPARTATE AMINOTRANSFERASE SERUM ASPARTATE AMINOTRANSFERASE AST/SGOT,15-37,U/L
"ASPARTATE AMINOTRANSFERASE(ALT/SGOT), SERUM",14-40,u/L
ASPARTATE AMINOTRANSFERASE(ALT/SGPT),14-40,U/L
ASPARTATE AMINOTRANSFERASE(AST / SGOT),14-40,U/L
ASPARTATE AMINOTRANSFERASE(AST/SGOT),14-40,U/L
ASPARTATE AMINOTRANSFERASE(AST/SGOT),0-37,U/L
ASPARTATE AMINOTRANSFERASE(AST/SGOT),17-59,U/L
ASPARTATE AMINOTRANSFERASE(AST/SGOT),14.40,U/L
"ASPARTATE AMINOTRANSFERASE(AST/SGOT), SERUM",17-59,U/L
"ASPARTATE AMINOTRANSFERASE(AST/SGOT), SERUM",14-40,U/L
"ASPARTATE AMINOTRANSFERASE(AST/SGOT), SERUM",14.40,u/L
"ASPARTATE AMINOTRANSFERASE(AST/SGOT), SERUM",14-36,U/L
"ASPARTATE AMINOTRANSFERASE(AST/SGOT), SERUM",0-37,U/L
ASPARTATE AMINOTRANSFERASE(AST/SGOT)SERUM,17-59,U/L
ASPARTATE AMINOTRANSFERASE(AST/SGOT)SERUM,8-38,U/L
ASPARTATE AMINOTRANSFERASE(AST/SGPT),14-40,U/L
ASPARTATE AMlNOTRANSFERASE(AST/SGOT),14-40,U/L
ASPARTEATE AMINO TRANSFERASE (SGOT),0.1-40,IU/L
AST ( SGOT),0-50,U/L
AST (SGOT),0-35,U/L
AST (SGOT),0-37,U/L
AST (SGOT),10-41,U/L
AST (SGOT),5-49,U/L
AST (SGOT),5-40,lU/L
AST (SGOT),15-37,IU/L
AST (SGOT) - SERUM,5-40,U/L
AST (SGOT)-SERUM,5-40,U/L
AST (SGOT).,10-41,U/L
AST SGOT SAUM,19-43,
AST(SGOT),0-35,U/L
AST(SGOT),0-45,
AST(SGOT),5-40,U/L
AST(SGOT)-SERUM,5-40,U/L
AST/SGoT 56nuM phosphate,nE/dL0-200,
AST/SGOT SERUM UREA SERUM,19-43,mg/dL
Atrial Rate,,BPM
AUDIOMETRY,,
AUDIOMETRY BASIC,,
Auramine,,
Axis,,
B.P.Supine,,
B.U.N,08-23,mg%
BACILLI,ABSENT,
BACTERIA,NOT DETECTED,
Bacteria,,
Bacteria,Less than 20,/hpf
Bacteria,Less than 20,/ hpf
Bacteria,Nil,/HPF
BACTERIA,NO DETECTED,
Bacteria,,/HPF
BACTERIA,,NOT DETECTED
Bacteria,,hpf
Bacteria / hpf,Less than 20,
Bacteria / hpf,Less than 20,/hpf
Bas#,0.00-1.10,x10^9/L
Bas#,0.00-0.10,x10^9/L
Bas%,0.0-1.0,%
BASOPHILS,0-01,%
BASIC ENT EXAMINATION EXTERNAL EAR CANAL,,
BASIC EYE EXAMINATION CONJUNCTIVA,,
Baso,00-01,%
ALANINE AMINOTRANSFERASE,17-63,U/L
BASOPHILS,<1-2,%
Basophil,0-2,%
BASOPHIL,0-2,
Basophil,<1-2;,%
Basophil,,%
BASOPHIL,00-01,%
BASOPHIL,0-8,
Basophil,Upto 1,%
Basophil,00%-01%,%
Basophil,0-1,%
Basophil,0-3,%
Basophilic Stippling,,
BASOPHILS,20-100,Cells/cu.mm
Basophils,00-00,%
Basophils,00-01,%
BASOPHILS,0-100,Cells/cu.mm
BASOPHILS,20-100,cells/cumm
Basophils,0-5.0,%
BASOPHILS,0-100,Celis/cu.mm
Basophils,0-1,%
Basophils,0-2,
BASOPHILS,0-100,Cells/.u.mm
BASOPHILS,0-100,Cell/cu.mm
BASOPHILS,0-03,%
BASOPHILS,0-1000,Cells/cu.mm
BASOPHILS,0-100;,cells/cu.mm
Basophils,[<1-2],%
Basophils,0-0,%
Basophils,0-6,%
BASOPHILS,,
BASOPHILS,0-200,
Basophils,<1-2,
Bilateral costophrenic and cardiophrenic angles,,
Bilateral hilar shadows,,
Bile Pigment,Absent,
Bile Pigment & salt,Absent,
Bile Pigments,,
BILE PIGMENTS,NEGATIVE,
BILE PIGMENTS,ABSENT,
Bile Salt,,
Bile Salts,,
BILE SALTS,NEGATIVE,
BILIRUBIN CONJUGATED (DIRECT),0.1-0.4,mg/dL
BILIRUBIN INDIRECT,0.2-1.2,mg/dL
BILIRUBIN,NOT DETECTED,
Bilirubin,Absent,
Bilirubin,,
BILIRUBIN,,NIL
BILIRUBIN,NIL,
BILIRUBIN,NlL,
BILIRUBIN,,NOT DETECTED
Bilirubin,5-40,IU/L
BILIRUBIN (INDIRECT),0.0-1.1,mg/dL
BILIRUBIN (INDIRECT),,
BILIRUBIN CONJUGATED (DIRECT),0.07-0.20,mg/dL
BILIRUBIN DIRECT,0-0.3,mg/dL
Bilirubin Total,0-1.2,mg/dL
Bilirubin (Direct),0-0.3,mg/dL
"BILIRUBIN (DIRECT), Serum",0-0.3,mg/dL
Bilirubin (Indirect),0-0.7,mg/dL
Bilirubin (Indirect),0.10-1.0,mg/dL
"BILIRUBIN (INDIRECT), Serum",0.1-1.0,mg/dL
Bilirubin (Total),0-1.0,mg/dL
Bilirubin (Total),0.1-1.2,mg/dL
"BILIRUBIN (TOTAL), Serum",0.1-1.2,mg/dL
BILIRUBIN - DIRECT,0.1-0.4,mg/dL
BILIRUBIN - DIRECT,0.0-0.4,mg/dL
BILIRUBIN - DIRECT,0-0.3,mg/dL
BILIRUBIN - INDIRECT,0.10-1.0,mg/dL
BILIRUBIN - INDIRECT,0.2-0.6,mg/dL
BILIRUBIN - INDIRECT,0.2-0.8,ma/dL
BILIRUBIN - INDIRECT,0-1.1,
BILIRUBIN - TOTAL,0.1-1.3,mg/dL
BILIRUBIN - TOTAL,0.3-1.2,mg/dL
BILIRUBIN - TOTAL,Adults: 0.1-1.2,mg/dL
BILIRUBIN - TOTAL,0.1-13,mg/dL
BILIRUBIN CONJUGATED (DIRECT),0.0-0.3,mg/dL
BILIRUBIN CONJUGATED (DIRECT),0-0.2,mg/dL
BILIRUBIN CONJUGATED (DIRECT),0.07-0.20,meg/dL
"BILIRUBIN CONJUGATED, (DIRECT)",0.0-0.3,mg/dL
BILIRUBIN CONJUGATED DIRECT),0.07-0.20,mg/dL
Bilirubin Direct,0-0.40,mg/dL
Bilirubin Direct,0.1-0.3,mg/dL
Bilirubin Direct,0.10-0.40,mg%
Bilirubin Direct,0 - -0.40,mg/dL
BILIRUBIN DIRECT,0-03,mg/dL
BILIRUBIN DIRECT,0-0.5,mg/dL
Bilirubin Direct,0.10-0.40 mg%,mg%
Bilirubin Direct,0.0-0.4,mg/dL
BILIRUBIN DIRECT,0-0.25,mg/dL
Bilirubin Direct,0.2-0.4,mg/dL
Bilirubin Direct,0-030,mg/dL
Bilirubin Indirect,0.0-0.6,mg/dL
Bilirubin Indirect,0.25-1.0,mg/dL
BILIRUBIN INDIRECT,0.2-1.2,mg/dL
Bilirubin Indirect,0.2-1.1,mg/dL
BILIRUBIN INDIRECT,0.1-0.5,mg/dL
Bilirubin Indirect,0.20-2.00,mg%
Bilirubin Indirect,0.25-1.0;,mg/dL
Bilirubin Indirect,0.25-1,mg/dL
BILIRUBIN INDIRECT,0.1-1.0,mg/dL
BILIRUBIN INDIRECT,0-075,mg/dL mgd
Bilirubin indirect,0.10-1.0,mg/dL
BILIRUBIN INDIRECT,0.0-1.1,mg/dL
Bilirubin Indirect 0.35me/dl is,,mg/dL
Bilirubin indirect serum,0.1-1.0,mg%
Bilirubin Total,ADULTS: 0-1.20,mg/dL
BILIRUBIN TOTAL,0.1-1.2,mg/dL
Bilirubin Total,0.3-1.2,mg/dL
Bilirubin Total,0.20-1.20,mg%
Bilirubin Total,ADULTS:0-1.20,mg/dL
BILIRUBIN Total,0.6-1.0,mg/dL
BILIRUBIN Total,0.6-1.0,
BILIRUBIN TOTAL,0.1-1-2,mg/dL
BILIRUBIN TOTAL,0.2-1,mg/dL
BILIRUBIN TOTAL,0.2-1.2,mg/dL
BILIRUBIN TOTAL,01-1.2,mg/dL
Bilirubin Total,0.2-1.0,mg/dL
Bilirubin Total,0.0-1.0,mg/dL
BILIRUBIN TOTAL,,mg/dL
Bilirubin(Total),0.1-1.2,mg/dL
"Bilirubin, Conjugated",0-0.2,mg/dL
"BILIRUBIN, DIRECT",0-0.2,mg/dL
"BILIRUBIN, INDIRECT",0.00-1.00,mg/dL
"BILIRUBIN, TOTAL",0.2-1,mg/dL
"BILIRUBIN, TOTAL",0.20-1.20;,mg/dL
"BILIRUBIN, TOTAL",0.20-1.20,mg/dL
"Bilirubin, Total",0.1-1.2,mg/dL
"BILIRUBIN, TOTAL",0.2-1.0,mg/dL
"Bilirubin, Total",0.3-1.2,mg/dL
"BILIRUBIN, TOTAL",0.2-1.2,mg/dL
"BILIRUBIN, TOTAL",0-1.2,mg/dL
"Bilirubin, Unconjugated",0-0.75,mg/dL
Bilirubin-Direct,0.30-1.00,mg/dL
BILIRUBIN-DIRECT,0.1-0.3,mg/dL
Bilirubin-Direct,0.30-0.80,mg/dL
Bilirubin-Direct,0.30-1.00;,mg/dL
"Bilirubin-direct, serum",0.0-0.5,mg%
Bilirubin-Indirect,0.00-0.80,mg/dL
BILIRUBIN-INDIRECT,0.2-0.7,mg/dL
Bilirubin-Total,0.00-1.20,mg/dL
Bilirubin-Total,0.00-1.00,mg/dL
BILIRUBIN-TOTAL,0.3-1.0,mg/dL
"BILIRUBN, TOTAL",0.2-1,mg/dL
BILIRUBIN CONJUGATED (DTRECT),0.07-0.20,mg/dL
BILIRUBIN CONJUGATED (INDIRECT),0.0-1.1,mg/dL
Biliruhin (Total)-serum,4.2-1.2;,mg/dL
Bilirubin Direct,0-0.30,mg/dL
Bilirubin Indirect,0-0.90,mg/dL
Bilirubin(Direct),0-0.3,mg/dL
Bilirubin(Indirect),0-0.7,mg/dL
BILRUBIN (INDIRECT),0.0-1.1,mg/dL
Bilrubin Direct,0.1-0.7,mg/dL
Bilrubin Indirect,0.1-1.0,mg/dL
BIO CHEMISTRY Serum Glucose F,70-110,
Blood Urea,15-45,mg/dL
"BIURUBIN, TOTAL",0.2-1,mg/dL
Bload urea Nitrogen,8-18,mg/dL
BLOOD,NIL,
BLOOD,NOT DETECTED,
BLOOD,NEGATIVE,
Blood,,
BLOOD SUGAR,0-140,mg/dL
HEMOGLOBIN,13.0-17.0,g/dL
Hemoglobin,13.0-17.0,Gm%
blood glucose,,mg/dL
Blood Glucose (Fasting),Normal - Less than 100,mg/dL
Blood Glucose (Fasting),70.00-110.00,mg/dL
Blood Glucose (Fasting),Normal - Less than 100 Prediabetes - 100-125 Diabetes - 126 and above,mg/dL
Blood Glucose (Fasting),70.00-11.00,mg/dL
Blood Glucose (Fasting),70-00-110.00,mg/dL
Blood Glucose (PP),Normal - Less than 140,mg/dL
Blood Glucose (PP),70.00-140.00,mg/dL
Blood Glucose (PP),,mg/dL
Blood Glucose (Random),70.0-140.0,mg/dL
Blood Glucose (Random),70.00-140.0,mg/dL
Blood Glucose - PP,Diabetes: > 200,mg/dL
Blood Glucose After Meals,70-145,mg/dL
Blood Glucose After Meals,,mg/dL
Blood Glucose BO,60-110,mg/dL
Blood Glucose Fasting,0-100,mg/dL
Blood Glucose Fasting,Normal - Less than 100,mg/dL
BLOOD GLUCOSE FASTING PP Glucose Fasting,,mg/dL
BLOOD GLUCOSE FASTING PP Glucose Fasting,Prediabetes 100-125 Normal 70-100,
Blood Glucose Post Prandial,70-130,mg/dL
Blood Glucose Random,0-140,mg/dL
Blood Indices P.C.V,40.0-50.0,%
Blood Indices P.CV,40.0-50.0,%
Blood Lead level,Toxic level -> 0.8,mg/L
Blood Lead Level,Less than 0-10,mcg/dl
BLOOD PRESSURE,,MM HG
Blood Sugar,,
Blood Sugar (Glucose)-post prandial,70-140,mg/dL
Blood Sugar (F),60-110,mg/dL
BLOOD SUGAR (FASTING),70-120,mg/dL
Blood Sugar (Glucose)-Fasting,70-110,mg /dL
BLOOD SUGAR (PP 1 1/2 HR),120-160,mg/dL
Blood Sugar (PP),0-145,mg/dL
Blood Sugar (PP),70-145,mg/dL
Blood Sugar (two hr. after meal),0-140,mg/dL
Blood Sugar - Fasting/Post Prandial,,
Blood Sugar 2 Hr. p.p,70-120,mg/dL
Blood Sugar 2 Hr. P.P.,70-120,mg/dL
BLOOD SUGAR F,7,mg/dL
BLOOD SUGAR F,70,mg/dL
Blood Sugar F,60-110,mg/dL
Blood Sugar Fasting,60-110,mg/dL
Blood Sugar Fasting,65-110,mg/dL
BLOOD SUGAR FASTING,70-110,mg/dL
Blood Sugar Fasting,,
Blood Sugar Fasting Blood Sugar Fasting,70-110,mg/dL
BLOOD SUGAR LEVEL RAISED,,mg/dL
Blood Sugar Post Mcal,110-150,mg%
Blood Sugar PP,90-140,mg/dL
Blood sugar PP,,
Blood Sugar Random,70-140,mg/dL
Blood Sugar Random,0-140,mg/dL
"BLOOD SUGAR RANDOM, ",0-200,mg/dL
"BLOOD SUGAR RANDOM, Fluoride Plasma",0-200,mg/dL
Blood Sugar(F),60-110,mg/dL
Blood Sugar(PP),0-145,mg/dL
Blood Sugatr Fasting,65-110,mg/dL
Blood Urea,10.0-50.0,mg/dL
Blood Urea,17-43,mg/dL
Blood Urea,15-43,mg/dL
BLOOD UREA,15.0-45.0,mg /dl
BLOOD UREA,15.0-45.0,mg/dL
Blood Urea,[10.0-50.0 ],mg/dL
BLOOD UREA,,mgd
Blood Urea,10-50,mg/dL
Blood Urea Nitrogen,8-18,mg/dL
BLOOD UREA LEVEL,17-49,mg/dL
BLOOD UREA NITROGEN,9.0-20.0,mg/dL
BLOOD UREA NITROGEN,5-20,mg/dL
BLOOD UREA NITROGEN,7.0-17.0,mg/dL
Blood Urea Nitrogen,0-20,mg/dL
BLOOD UREA NITROGEN,4-22,mg/dL
BLOOD UREA NITROGEN,7.0-17.0,mgldL
BLOOD UREA NITROGEN,6-20,mg/dL
Blood urea Nitrogen,8-18 mg/dL,mg/dL
BLOOD UREA NITROGEN,7-18,mg/dL
BLOOD UREA NITROGEN,19-43,mg/dL
Blood Urea Nitrogen,7.94-20.1,mg/dL
Blood Urea Nitrogen,07-20,mg/dL
Blood Urea Nitrogen (BUN),7.94-20.1,mg/dL
Blood Urea Nitrogen (BUN),7.00-21.00,mg/dL
BLOOD UREA NITROGEN (BUN),7-18,mg/dL
BLOOD UREA NITROGEN (BUN),6.0-20.0,mg%
Blood Urea Nitrogen (BUN),7.94-20.1 ;,mg/dL
Blood Urea Nitrogen (BUN),,7.00 - 21.00
Blood Urea Nitrogen (BUN),[7.94-20.1],mg/dL
Blood Urea Nitrogen (BUN),[7.94-20.1 ],mg/dL
Blood Urea Nitrogen (BUN),[7.94-20.1 mg/dL],mg/dL
"BLOOD UREA NITROGEN, SERUM",9.0-20.0,mg/dL
"BLOOD UREA NITROGEN, SERUM",5-20,mg/dL
